text,intent,category,priority
Pay the electricity and water bills before June 30th,Task,Finance,High
Call the bank to dispute the unauthorized charge tomorrow morning,Task,Finance,High
Send a thank you note to James for the gift,Task,Personal,Low
Summary of discussion with Liam about thermodynamics this Friday at 3pm,Note,Work,Low
Set a reminder to order laundry detergent before the sale ends by next week,Reminder,Shopping,Medium
ASAP: Remind me to buy cheese when near the market by next week,Reminder,Shopping,High
Set a reminder to review budget limits on Saturday,Reminder,Finance,Medium
Remember to submit timesheets before Friday 2:30 PM,Reminder,Work,High
Browse online deals for keyboard accessories,Todo,Shopping,Low
Create a list of birthday gift ideas for Jessica,Todo,Personal,Low
Calculate total savings progress for this year,Todo,Finance,Medium
Store recommendations: buy fresh vegetables at the farmer's market,Note,Shopping,Low
Don't forget to send the rent payment by the 1st of the month,Reminder,Finance,High
Stretch for 10 minutes in the morning,Todo,Health,Low
Shopping list notes: check if we have enough laundry detergent at home,Note,Shopping,Low
Bucket list ideas: visit New York and learn to play the piano,Note,Personal,Low
Register for the virtual yoga class,Task,Health,Medium
Order a new mouse from online store,Task,Shopping,Medium
Sizes list: John wears shoe size 9 and shirt size M,Note,Shopping,Low
Create wishlist for upcoming black friday sales,Todo,Shopping,Low
Check the current price of GOOGL stock,Todo,Finance,Low
Renew my passport before the travel dates,Task,Personal,High
Don't forget to buy milk and bread on Friday,Reminder,Shopping,Low
Format bibliography for Art History assignment,Task,Study,Low
Hobby idea summary: baking sourdough looks very interesting,Note,Personal,Low
Don't forget to withdraw cash from the ATM tomorrow,Reminder,Finance,Low
Remember to prepare for the Art History exam on June 30th,Reminder,Study,High
Research organic synthesis for the upcoming Computer Science project,Todo,Study,Medium
Log sleep duration and quality in the health app,Todo,Health,Low
ASAP: Hobby idea summary: origami looks very interesting,Note,Personal,High
"Sleep diary: slept for 7 hours, felt rested",Note,Health,Low
Draft the outline for Physics research paper,Task,Study,Medium
Perform deep breathing exercises for stress relief,Todo,Health,Low
Summary of Math discussion board posts,Note,Study,Low
Solve the practice problems in chapter 20 of Economics,Task,Study,Medium
Go over the formulas for Economics,Todo,Study,Medium
Set a reminder to order refills of Allergy pills by Friday,Reminder,Health,High
Prepare slides for Math presentation,Task,Study,High
ASAP: Water the balcony plants and flowers this Friday at 3pm,Todo,Personal,High
ASAP: Feedback on the design proposal: highly important for final exam,Note,Work,High
Remind me to check stock prices for NVDA at 8:00 PM,Reminder,Finance,Low
ASAP: Format bibliography for Calculus assignment,Task,Study,High
Set a reminder to order trash bags before the sale ends,Reminder,Shopping,Medium
Transfer $100 to my savings account,Task,Finance,Medium
Remember to submit timesheets before Friday 5:00 PM,Reminder,Work,High
Book recommendation list: read books on organic synthesis,Note,Personal,Low
Prepare slides for History presentation,Task,Study,High
Notes on investment strategy: focus on low-cost index funds this Friday at 3pm,Note,Finance,Low
Make a list of clothes to buy for the trip next Monday at noon,Todo,Shopping,Low
Set a reminder to review Physics formulas tomorrow,Reminder,Study,Medium
Track daily calorie and macro intake in the app,Todo,Health,Low
Refill the Vitamins supply at the local drug store,Task,Health,High
Set a reminder for performance review with Jessica on tomorrow,Reminder,Work,High
Remind me to drink water before the run,Reminder,Health,Medium
Don't forget to order coffee beans next week,Reminder,Shopping,Low
Order a new smartwatch from online store,Task,Shopping,Medium
Email the professor regarding Computer Science questions,Task,Study,Medium
Cook dinner for the family tonight,Task,Personal,Medium
Drink a glass of water every hour today,Task,Health,Medium
Remind me to submit the draft for Physics next week,Reminder,Study,High
Model name for mouse I want to buy: Version 50 by next week,Note,Shopping,Low
Read article on benefits of regular stretching,Todo,Health,Low
Remind me to sign up for the Economics workshop by at 9 PM,Reminder,Study,High
Symptom journal: felt slight headache in the afternoon,Note,Health,Medium
Compare auto insurance rates online,Todo,Finance,Low
Purchase a nice birthday gift for Emily,Task,Shopping,Medium
Find reference papers on compiler design,Todo,Study,Medium
Audit digital subscriptions and memberships,Todo,Finance,Medium
Transfer the monthly rent amount to Emily,Task,Finance,High
Journal entry from today: completed major milestones and ran 5k,Note,Personal,Low
Project details: Genesis aims to rebuild the user profile service,Note,Work,Low
Memorable moments from the trip to Lake Tahoe,Note,Personal,Low
Find out store hours for the hardware shop,Todo,Shopping,Low
Do a strength training workout session,Task,Health,Medium
Plan the weekend road trip itinerary to Yosemite,Task,Personal,Medium
Schedule a kickoff meeting for Project Genesis,Task,Work,Medium
Instructions for deploying auth code,Note,Work,Medium
Blood pressure reading today: 125/82 mmHg,Note,Health,Medium
Take vitamins and dietary supplements,Todo,Health,Medium
Clean the living room and vacuum the rugs by next week,Task,Personal,Low
Model name for laptop I want to buy: Version 10,Note,Shopping,Low
Research prices for a phone online,Todo,Shopping,Low
Summarize the lecture notes on ancient civilization for Literature this Friday at 3pm,Todo,Study,Medium
Set a reminder to order dishwashing liquid before the sale ends,Reminder,Shopping,Medium
Remember to submit timesheets before Friday 9:00 AM,Reminder,Work,High
Wash and clean the car inside and out,Todo,Personal,Low
Prepare slides for Economics presentation,Task,Study,High
Research question idea: how does modernism impact modern science,Note,Study,Low
Dietary note: need to reduce sugar intake and eat more fiber,Note,Health,Low
Set a reminder to practice Literature problems,Reminder,Study,Medium
Order school supplies for the kids online,Task,Shopping,Medium
Remind me to pick up the prescription medicine tomorrow,Reminder,Shopping,High
Research linear algebra for the upcoming Economics project,Todo,Study,Medium
Set a reminder to review Biology formulas tomorrow,Reminder,Study,Medium
Set a reminder to order refills of Lipitor by next week,Reminder,Health,High
Research prices for a monitor online tonight at 8 PM,Todo,Shopping,Low
Research high-yield savings accounts,Todo,Finance,Low
Remember to water the backyard garden tomorrow morning,Reminder,Personal,Low
Pick up the dry cleaning from the shop,Task,Shopping,Low
Set a reminder to pick up dry cleaning on next Monday,Reminder,Personal,Medium
Deploy the new version of payment to production,Task,Work,High
Submit the Calculus lab report (low priority though),Task,Study,Low
Quotes that inspire me: progress is better than perfection,Note,Personal,Low
List of favorite songs to learn on the violin,Note,Personal,Low
Buy replacement bulbs for the living room lamps,Task,Shopping,Low
Remember to submit timesheets before Friday 8:00 PM (low priority though),Reminder,Work,Low
List of allergies: allergic to penicillin and pollen,Note,Health,High
Stock market watch: buy shares of TSLA if price drops,Note,Finance,Low
Create a list of birthday gift ideas for Liam tomorrow morning,Todo,Personal,Low
Remind me to buy a birthday card for Daniel on July 5th,Reminder,Shopping,Medium
List of favorite songs to learn on the drums by next week,Note,Personal,Low
Remind me to call Emily on their birthday next week,Reminder,Personal,Medium
Mow the lawn and trim the garden hedges this Friday at 3pm,Task,Personal,Low
Credit score update: reached 780 this month,Note,Finance,Medium
Prep healthy meals for the upcoming week,Task,Health,Medium
Review vocabulary flashcards for Literature,Todo,Study,Low
Fix the leaking kitchen sink faucet,Task,Personal,Medium
Run 10 miles on the treadmill at the gym,Task,Health,Medium
Run 50 miles on the treadmill at the gym next Monday at noon,Task,Health,Medium
Stock market watch: buy shares of AMZN if price drops,Note,Finance,Low
Concept definition: compiler design is defined as cell reproduction,Note,Study,Low
Client preferences for Stark Industries: highly values speed and communication,Note,Work,Low
Worklog notes: worked on fixing the search engine latency issue today,Note,Work,Low
Remind me to ask Michael for Art History study guides,Reminder,Study,Low
Sizes list: Chris wears shoe size 9 and shirt size M,Note,Shopping,Low
List of favorite songs to learn on the ukulele,Note,Personal,Low
Hobby idea summary: woodworking looks very interesting,Note,Personal,Low
Notes from doctor consultation: needs review later tonight at 8 PM,Note,Health,High
Concept definition: cryptography is defined as eigenvalues and eigenvectors this Friday at 3pm,Note,Study,Low
Set a reminder to purchase anniversary flowers on next Monday,Reminder,Shopping,High
ASAP: Recipe notes: ingredients for homemade pizza include cheese and tomatoes,Note,Personal,High
Pick up my prescription medicine Amoxicillin from pharmacy,Task,Health,High
Remember to prepare for the Computer Science exam on next week,Reminder,Study,High
Do 15 minutes of mindfulness meditation before bed by next week,Todo,Health,Low
Summary of discussion with Daniel about industrial revolution,Note,Work,Low
Sell the shares of GOOGL stock next Monday at noon,Task,Finance,High
Go over the formulas for Computer Science,Todo,Study,Medium
Buy a pair of running shoes from the sports store tomorrow morning,Task,Shopping,Medium
Don't forget to RSVP to Sophia's dinner invitation,Reminder,Personal,Medium
"Shopping wishlist: monitor, smartwatch, and a new bag next Monday at noon",Note,Shopping,Low
Remind me to check the mail catalog today,Reminder,Personal,Low
Concept definition: thermodynamics is defined as memory allocation structures,Note,Study,Low
Remember to book the dental checkup on tomorrow,Reminder,Health,High
Set a reminder to purchase anniversary flowers on next week,Reminder,Shopping,High
Read pages 20 to 2 of the History textbook tonight at 8 PM,Todo,Study,Medium
Remind me to go to bed before 11:00 PM tonight,Reminder,Health,Medium
Remind me to take my Metformin at 4:15 PM,Reminder,Health,High
Get new filters for the water pitcher,Task,Shopping,Low
ASAP: Formula list for Physics includes compiler design equations,Note,Study,High
Draft the email reply to Umbrella Corp regarding updates,Todo,Work,Medium
Set a reminder for performance review with John on July 5th,Reminder,Work,High
Set a reminder for performance review with Olivia on tomorrow,Reminder,Work,High
Remind me of the design project status meeting at 9:00 AM by next week,Reminder,Work,Medium
Sell the shares of NVDA stock,Task,Finance,High
Write a journal entry about finished reading a great chapter of my book,Todo,Personal,Low
Format bibliography for Economics assignment,Task,Study,Low
Watch the tutorial video on ancient civilization,Todo,Study,Low
Don't forget the therapy appointment with Sophia at 10:30 AM tomorrow morning,Reminder,Health,High
ASAP: Notes on Project Orion timeline and milestones,Note,Work,High
Remember to submit the tax documents by this weekend,Reminder,Finance,High
Concept definition: thermodynamics is defined as total GDP output,Note,Study,Low
"Shopping wishlist: speaker, mouse, and a new bag",Note,Shopping,Low
Plan tasks for the upcoming sprint,Todo,Work,Medium
Clean the coffee machine filter,Todo,Personal,Low
Watch the tutorial video on cryptography,Todo,Study,Low
Bucket list ideas: visit San Francisco and learn to play the guitar,Note,Personal,Low
"Workout stats: ran 10 kilometers, burnt 400 calories",Note,Health,Low
Call Alex to catch up on weekend plans,Task,Personal,Medium
Movie wishlist: watch the new documentary about industrial revolution,Note,Personal,Low
Remind me to take my Vitamins at 9:00 AM next Monday at noon,Reminder,Health,High
Remind me to check the database logs at 2:30 PM by next week,Reminder,Work,Medium
Remember to review investment options next Monday,Reminder,Finance,Medium
Concept definition: photosynthesis is defined as post-modern aesthetics,Note,Study,Low
Organize shopping cart items on Amazon,Todo,Shopping,Low
Concept definition: modernism is defined as light absorption in plants,Note,Study,Low
Submit the weekly progress report to the manager,Task,Work,Medium
Set a reminder to order batteries before the sale ends this Friday at 3pm,Reminder,Shopping,Medium
Review the pull request for the analytics module,Task,Work,Medium
Remember to apply eye drops at 4:15 PM by next week,Reminder,Health,Medium
Set a reminder to practice Math problems next Monday at noon,Reminder,Study,Medium
Research question idea: how does data structures impact modern science,Note,Study,Low
Important definitions for Computer Science exam revision,Note,Study,Medium
Concept definition: genetics is defined as cell reproduction,Note,Study,Low
Key takeaways from the tech workshop on data structures,Note,Work,Low
ASAP: Gift ideas for Sophia: book about ancient civilization or a warm scarf next Monday at noon,Note,Shopping,High
Research flight tickets to Tokyo for vacation tomorrow morning,Todo,Personal,Medium
Set a reminder to stretch every hour at work today by next week,Reminder,Health,Low
Remind me to sign up for the Biology workshop by next week,Reminder,Study,High
Update the project wiki documentation for Vanguard,Todo,Work,Low
Wash the dirty laundry and fold the sheets by next week,Task,Personal,Low
Don't forget the medical blood test tomorrow morning,Reminder,Health,High
Shopping budget notes: maximum $200 for clothing,Note,Shopping,Low
ASAP: Reflections on my day: finished reading a great chapter of my book next Monday at noon,Note,Personal,High
Pick up tomatoes and some coffee on my way home,Task,Shopping,Low
Notes from today's lecture on data structures: discuss at the next standup meeting,Note,Study,Low
Create a grocery list for the weekly meal plan,Todo,Shopping,Low
Set a reminder for the auto-debit of Netflix on July 5th,Reminder,Finance,Medium
ASAP: Key takeaways from the tech workshop on quantum physics,Note,Work,High
Buy spinach and cereal from the local supermarket,Task,Shopping,Low
Important definitions for Math exam revision,Note,Study,Medium
Analyze investment portfolio allocation next Monday at noon,Todo,Finance,Medium
Drink at least 10 glasses of water today tonight at 8 PM,Todo,Health,Medium
ASAP: My thoughts on the reading assignment for Math,Note,Study,High
Update the client onboarding document for Wayne Enterprises,Task,Work,Medium
Financial goals for March: limit dining out expenses to $150 by next week,Note,Finance,Medium
Fix the critical bug in the billing pipeline,Task,Work,High
Book recommendation list: read books on thermodynamics,Note,Personal,Low
Remind me to sign up for the Computer Science workshop by in 3 days,Reminder,Study,High
Tax filing notes: keep receipts for business travel,Note,Finance,Medium
Remember to call Sarah about the client contract on next week,Reminder,Work,Medium
"Reflections on my day: spent too much time on distractions, need to focus tomorrow",Note,Personal,Low
My thoughts on the reading assignment for Chemistry,Note,Study,Low
Journal entry from today: felt incredibly productive and energetic today,Note,Personal,Low
Shopping list notes: check if we have enough dishwashing liquid at home,Note,Shopping,Low
Remind me to buy a birthday card for Sophia on Friday,Reminder,Shopping,Medium
Find reference papers on modernism,Todo,Study,Medium
Write unit tests for the analytics controllers,Task,Work,Medium
Remember to purchase the concert tickets tonight,Reminder,Shopping,High
Research competitor products in the product space this Friday at 3pm,Todo,Work,Low
Meeting minutes from finance sync: save for reference in future projects,Note,Work,Low
Write a journal entry about felt incredibly productive and energetic today,Todo,Personal,Low
Refill the Ibuprofen supply at the local drug store,Task,Health,High
Review team feedback on Project Alpha,Todo,Work,Medium
Compare features of keyboard brands,Todo,Shopping,Low
Restock on trash bags and laundry detergent,Task,Shopping,Low
Send a thank you note to Sophia for the gift,Task,Personal,Low
Complete the assignment for History before the deadline,Task,Study,High
Remind me to buy a birthday card for Emma on in 3 days,Reminder,Shopping,Medium
Find reference papers on linear algebra,Todo,Study,Medium
Remember to call Jessica about the client contract on Friday,Reminder,Work,Medium
Write the essay for Calculus history class,Task,Study,Medium
Set a reminder for the design sync with Emily on Friday,Reminder,Work,Medium
Don't forget the therapy appointment with Sarah at 10:30 AM,Reminder,Health,High
Remind me of the design project status meeting at 4:15 PM,Reminder,Work,Medium
Draft the outline for History research paper,Task,Study,Medium
Research flight tickets to Paris for vacation tonight at 8 PM,Todo,Personal,Medium
Set a reminder to write the daily journal entry at 2:30 PM tomorrow morning,Reminder,Personal,Low
Memorable moments from the trip to San Francisco next Monday at noon,Note,Personal,Low
Set a reminder for the design sync with Alex on in 3 days,Reminder,Work,Medium
Go for a dental checkup and teeth cleaning,Task,Health,High
Remind me to call Daniel on their birthday next week,Reminder,Personal,Medium
Organize the bedroom closet and donate old clothes,Task,Personal,Low
Journal entry from today: finished reading a great chapter of my book,Note,Personal,Low
Check stock availability for monitor at the retail store,Todo,Shopping,Low
Organize the folders in the shared drive,Todo,Work,Low
Model name for mouse I want to buy: Version 5 tonight at 8 PM,Note,Shopping,Low
Remind me to return the Literature library book by July 5th,Reminder,Study,Medium
Refactor the backend API routing files,Task,Work,Medium
Practice playing the guitar for 30 minutes,Todo,Personal,Low
Read pages 12 to 20 of the Chemistry textbook,Todo,Study,Medium
Listen to educational podcast about cryptography,Todo,Study,Low
Schedule a kickoff meeting for Project Phoenix,Task,Work,Medium
Buy coffee and coffee from the local supermarket next Monday at noon,Task,Shopping,Low
Savings plan: save $250 by the end of August,Note,Finance,Medium
Client preferences for Acme Corp: highly values speed and communication,Note,Work,Low
Cryptocurrency wallet backup keys and seed words,Note,Finance,High
Study Computer Science for 4 hours today by next week,Todo,Study,Medium
Update the monthly budget spreadsheet for December,Task,Finance,Medium
Look for coupons or discounts on soap,Todo,Shopping,Low
Remember to pack suitcases before the trip on this weekend,Reminder,Personal,High
Clean up the inbox and archive old emails,Todo,Work,Low
Brainstorm thesis statements for Chemistry,Todo,Study,Medium
Run 20 miles on the treadmill at the gym tonight at 8 PM,Task,Health,Medium
Useful study resource for Economics: http://arxiv.org/abs/1234,Note,Study,Low
Remind me to pay the credit card bill on July 5th,Reminder,Finance,High
Call David to catch up on weekend plans,Task,Personal,Medium
Format bibliography for History assignment,Task,Study,Low
Project details: Alpha aims to rebuild the ui service,Note,Work,Low
Health tip: drinking green tea improves metabolism,Note,Health,Low
Pay the electricity and water bills before at 9 PM,Task,Finance,High
Summarize the lecture notes on photosynthesis for Physics tonight at 8 PM,Todo,Study,Medium
Read pages 4 to 50 of the Literature textbook,Todo,Study,Medium
Listen to educational podcast about industrial revolution,Todo,Study,Low
Review team feedback on Project Vanguard tonight at 8 PM,Todo,Work,Medium
Project details: Genesis aims to rebuild the auth service,Note,Work,Low
Remember to pack suitcases before the trip on Friday,Reminder,Personal,High
Hobby idea summary: learning Spanish looks very interesting,Note,Personal,Low
Browse online deals for laptop accessories,Todo,Shopping,Low
Deploy the new version of user profile to production,Task,Work,High
Remind me to buy pasta when near the market,Reminder,Shopping,Low
Bank account numbers and routing details saved here,Note,Finance,Medium
Remind me to check the database logs at 4:15 PM,Reminder,Work,Medium
Remember to call John about the client contract on at 9 PM,Reminder,Work,Medium
Remember to check the online gradebook tonight,Reminder,Study,Low
Research competitor products in the HR space,Todo,Work,Low
Remind me to feed the pets at 4:15 PM,Reminder,Personal,High
Compare features of laptop brands,Todo,Shopping,Low
Complete the assignment for Chemistry before the deadline,Task,Study,High
Review monthly credit card and bank statements,Todo,Finance,Medium
List of favorite songs to learn on the guitar,Note,Personal,Low
Useful study resource for Physics: https://github.com/trending,Note,Study,Low
Remind me to ask Emily for Calculus study guides,Reminder,Study,Low
Pay the electricity and water bills before in 3 days,Task,Finance,High
Submit the Literature lab report,Task,Study,High
Order a new tablet from online store,Task,Shopping,Medium
Purchase a nice birthday gift for Alex,Task,Shopping,Medium
Remind me to pay the credit card bill on in 3 days,Reminder,Finance,High
Remind me to backup the production databases,Reminder,Work,High
Send the draft contract to Initech for review,Task,Work,High
Notes on Project Apollo timeline and milestones next Monday at noon,Note,Work,Low
Pick up milk and some coffee on my way home,Task,Shopping,Low
